,Time/Cells/Single Cells/Live | Freq. of Single Cells (%),Time/Cells/Single Cells/Live/CD45+ | Freq. of Live (%),"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)*** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim) | Freq. of NOT CD16-, CD56- (Total NK cells)*** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright) | Freq. of NOT CD16-, CD56- (Total NK cells)*** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)*** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/CD45low, CD16+ (Neutrophils) *** | Freq. of CD45+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141- CD1c+ (cDC2s) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141+, CD1c- (cDC1s) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141-, CD1c- (DN cDCs) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+ | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes) | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes) | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes) | Freq. of NOT CD45low, CD16+ (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,97.4,54.7,53.4,5.88,80.4,3.42,7.24,2.74,0.82,0.31,1.03,78.8,6.26,15.0,23.3,20.2,0.92,2.16,
2022-08-30_2022-09-01_SAC253053 D2.fcs,92.8,76.3,51.9,7.26,79.0,3.56,6.96,2.17,0.76,0.35,1.13,72.6,4.07,23.0,22.6,19.6,0.77,2.21,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,99.6,99.6,75.5,11.2,94.6,2.22,2.56,48.0,0.63,0.48,0.66,83.0,2.42,14.5,8.27,6.53,1.14,0.60,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,99.7,99.5,59.0,13.0,77.4,3.09,3.56,66.6,1.68,1.10,0.53,70.8,5.37,23.5,20.1,15.2,2.48,2.45,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,99.4,99.8,72.0,9.30,92.4,3.05,4.06,66.5,1.90,0.45,0.64,77.3,4.42,17.7,11.0,9.77,0.83,0.44,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,68.6,97.7,68.8,6.93,88.3,2.70,9.91,28.3,1.50,0.54,0.45,60.8,2.15,37.1,10.9,6.93,3.15,0.80,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,76.3,98.8,71.7,8.12,76.7,4.22,5.72,26.7,1.54,1.07,0.46,44.6,1.35,54.1,9.86,7.98,1.03,0.84,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,62.3,98.5,66.2,6.36,84.3,3.13,9.42,45.7,2.19,0.42,0.50,69.6,4.83,24.9,14.0,8.91,4.52,0.53,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,99.9,88.0,74.0,7.75,92.0,3.96,3.37,0.16,0.68,0.54,0.58,87.4,2.24,10.4,12.4,10.2,1.73,0.51,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,99.9,99.4,82.8,12.4,92.1,3.34,2.19,0.036,0.16,0.21,0.11,54.9,4.88,40.2,1.57,0.97,0.079,0.52,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,99.9,95.2,68.8,7.16,88.0,5.18,4.47,3.83,0.73,0.63,0.78,74.7,5.12,19.9,16.4,14.8,1.20,0.33,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,99.9,97.9,64.6,7.96,82.1,3.92,3.75,58.9,1.61,0.62,0.73,85.5,3.14,11.1,20.1,17.2,2.08,0.83,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,99.9,98.8,59.8,10.6,72.4,4.15,3.22,70.3,1.94,1.18,0.56,77.7,5.32,16.8,22.0,16.1,3.23,2.61,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,100.0,95.4,60.2,6.62,74.1,5.31,5.84,72.4,2.58,0.59,0.75,73.7,4.57,20.6,22.8,20.8,1.47,0.54,
