,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen Sirpa+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,0.011,0.70,0.35,3.54,0.097,22.0,0,0.15,0.37,0.016,0.16,0.013,0.62,0.30,3.14E-3,0.033,1.57E-3,
2022-08-30_2022-09-01_SAC253053 D2.fcs,9.29E-3,1.19,0.68,6.21,0.44,21.7,2.65E-3,0.31,0.32,6.63E-3,0.12,0.012,0.27,0.33,1.33E-3,0.032,1.33E-3,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,0.011,1.45,5.82,17.2,0.21,29.9,0.18,5.32E-3,0.37,0.12,0.12,0.011,0.15,11.0,0,0.085,0.090,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,0.015,3.73,0.76,4.79,0.29,22.3,0.20,0.055,0.63,0.10,0.16,0.13,0.17,0.65,3.04E-3,0.064,0.14,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,4.93E-3,5.75,0.77,4.71,0.16,16.0,0.28,0.015,0.88,0.16,0.34,0.26,0.17,2.85,0,0.17,4.93E-3,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,0.018,0.48,12.2,13.6,0.074,31.6,0.028,0.014,0.21,0.050,0.067,0.018,0.18,2.34,0,0.032,7.08E-3,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,8.69E-3,1.10,1.63,3.10,8.69E-3,19.8,0.087,0.061,0.30,0.13,0.043,0.017,0.15,0.27,0,0.052,0,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,0.020,2.15,2.01,4.67,0.12,14.5,5.51E-3,0.020,0.42,0.075,0.12,0.040,0.30,1.52,3.67E-3,0.13,3.67E-3,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,4.78E-3,2.27,3.87,13.6,0.19,31.0,0.011,0.018,0.59,0.027,0.15,0.011,0.075,16.9,4.78E-3,0.057,0,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,1.57E-3,6.34,0.34,1.80,0.019,27.0,0.044,0.020,0.42,0.033,0.041,7.85E-3,0.052,1.36,1.57E-3,0.14,0.014,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,0.016,9.48,0.14,1.44,0.10,16.5,0.10,0.018,0.81,0.14,0.31,3.95E-3,0.080,5.05,0,0.18,0,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,6.41E-3,1.38,3.27,11.3,0.27,28.8,5.34E-3,0.011,0.53,0.018,0.16,0.16,0.082,10.3,1.07E-3,0.018,0.17,
