,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen Sirpa+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,0.070,72.6,4.17,0.32,13.7,46.5,79.2,0.78,11.7,0.10,0.65,0.73,1.59,2.00,0.20,0.012,0,
2022-08-30_2022-09-01_SAC253053 D2.fcs,0.13,72.3,7.25,1.76,29.2,47.3,71.1,3.58,13.7,0.54,2.06,0.92,0.98,3.94,0.47,0.059,0,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,0.31,90.1,16.9,1.56,19.2,55.9,69.5,0,31.6,1.25,6.89,0.94,2.50,0.94,0,0.47,0,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,0.25,88.4,3.87,1.16,14.1,54.6,85.8,0.10,18.4,1.16,5.93,1.36,2.41,1.05,0.20,0.50,0.20,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,0.26,90.1,5.25,2.01,15.2,63.1,82.9,0.087,22.4,9.54,17.0,1.49,1.57,1.31,0.17,0.96,0.17,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,0.12,52.6,6.93,0.61,25.9,52.5,55.0,0.32,11.6,0.22,0.29,0.32,0.34,1.45,0,0.025,0,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,0,36.9,1.20,0.55,16.9,43.2,72.2,0.33,9.92,0.55,0,0.22,1.42,6.43,0.11,0,0,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,0.077,63.2,6.10,5.60,31.1,58.7,80.5,2.74,10.1,1.87,1.61,0.53,1.01,2.37,1.42,0.86,0.14,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,0.18,95.8,16.8,0.035,13.5,58.2,86.3,0.49,28.9,0.88,3.61,1.12,1.16,2.63,0.25,0.14,0.035,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,0.24,90.4,10.1,0.36,20.6,59.3,84.9,0.24,26.1,2.31,10.0,0.95,1.84,1.25,0.059,0.65,0.059,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,0.22,91.2,5.70,0.18,17.8,71.2,81.6,0.59,22.7,11.2,18.1,1.20,1.42,2.68,0.77,0.45,0,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,0.18,92.4,10.5,1.64,7.91,46.2,83.7,0.61,28.1,0.35,3.37,1.20,1.20,2.54,0.17,0.018,0.53,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,0.31,90.2,3.28,1.65,11.4,55.2,89.3,0.50,19.1,1.82,6.14,0.81,1.51,1.29,0.53,0.22,0.14,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,0.14,90.1,2.98,3.84,9.24,62.1,87.6,0.30,14.8,5.49,11.1,0.87,1.11,1.71,0.30,0.27,0.036,
