,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen Sirpa+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,0,0.41,96.2,0.81,78.6,99.5,0,0.81,0.10,0.31,0.20,0,1.02,0.71,0,0,0,
2022-08-30_2022-09-01_SAC253053 D2.fcs,0,0.18,96.9,1.09,89.2,99.5,0,3.53,0,0.18,0.27,0.090,0.27,0.72,0,0,0,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,0,0,98.1,3.21,78.2,100,0,1.92,0,1.28,1.28,0,0.64,2.56,0,0,0,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,0,0,97.4,3.83,81.1,98.8,0.11,4.89,0,0.96,1.06,0.21,1.49,1.38,0.85,0.64,0.11,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,0,0,95.7,0.93,50.2,100,0.19,5.41,0,0,0,0.19,0.56,0.56,0,0.56,0,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,0,0,97.1,3.25,84.9,100,0.16,3.90,0,0.81,0.49,0.16,0.32,0.32,0,0,0,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,0,0,89.9,3.24,73.7,98.0,1.21,13.4,0,2.02,0.40,0,0.81,1.62,0.81,3.24,0.40,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,0.056,0,92.6,9.94,65.7,99.8,0,15.5,0,0.50,0.22,0,0.33,0.44,0,0.39,0.056,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,0,0.52,97.7,1.21,85.6,99.7,0.35,0.69,0,1.91,0.35,0,1.56,1.39,0.17,0,0,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,0.83,0,72.7,32.2,68.6,90.9,0,8.26,0,9.09,8.26,0,0.83,29.8,0,3.31,0,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,0,0.75,90.4,0.88,59.0,99.6,0.62,3.50,0,4.75,0.25,0,1.38,1.12,0,1.12,0,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,0,0.086,96.9,0.69,68.7,100,0,0.26,0,0.21,0.13,0.17,0.52,0.39,0,0,0,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,0,0,98.0,3.91,82.0,99.1,0,2.93,0,0.65,0.75,0,1.02,0.84,0.14,0.65,0.14,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,0,0.081,83.5,0.73,35.7,100.0,0,1.70,0,0.16,0.20,0.081,0.61,0,0,0.081,0,
