,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen Sirpa+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,4.88,8.94,14.1,0,37.7,89.6,0.65,7.15,0.33,74.4,65.0,73.2,10.7,37.2,0,0.081,0,
2022-08-30_2022-09-01_SAC253053 D2.fcs,2.91,6.86,16.5,0,55.6,82.9,0.61,12.6,0.24,67.2,57.6,65.8,7.65,42.3,0,0.12,0,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,6.06,15.8,12.7,0,72.1,99.4,1.21,3.64,0.61,81.8,32.1,79.4,12.7,85.5,0,0.61,12.7,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,4.70,12.8,8.05,0,65.1,92.6,1.68,7.05,0.34,75.8,38.9,67.8,8.72,79.5,0.34,0.34,13.1,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,4.42,13.8,10.5,0,37.0,99.4,2.21,3.31,0.55,90.6,27.6,84.5,14.9,87.8,0,0,0,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,2.15,6.99,24.7,0,78.5,81.2,0,21.0,2.69,67.7,62.4,55.4,18.8,48.4,0,0.54,27.4,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,6.76,10.8,16.2,0,62.2,71.6,1.35,33.8,0,67.6,35.1,36.5,6.76,43.2,0,0,6.76,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,2.90,11.6,10.4,0,54.8,91.3,0.72,7.00,0.97,83.8,54.1,70.8,23.2,55.1,0,1.45,0,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,7.54,21.0,14.3,0,72.3,98.6,0.41,1.83,0.41,92.9,41.1,85.9,16.5,88.8,0,0.41,14.7,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,15.9,15.9,11.0,0,56.1,90.2,0,9.76,2.44,70.7,36.6,52.4,8.54,67.1,0,0,3.66,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,6.86,14.8,5.93,0,32.2,98.7,2.44,0.47,0.58,94.8,23.7,90.0,14.5,84.7,0,0.23,0,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,2.28,14.9,5.90,0,66.3,97.2,0.95,2.95,0.38,87.6,36.3,86.5,15.2,91.9,0,0,13.6,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,3.87,12.4,3.06,0,61.1,93.5,1.29,6.13,0.48,84.8,43.9,76.5,10.8,78.9,0,0.32,12.4,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,0.97,10.9,4.43,0,22.2,97.6,1.80,1.52,0.14,89.8,23.1,90.0,14.8,83.5,0,0,0,
