,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes)/Phen Sirpa+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,0.19,0.17,99.4,0.25,96.4,98.4,0.37,17.8,0.083,79.9,98.3,78.7,24.0,73.9,0.017,0.079,40.1,
2022-08-30_2022-09-01_SAC253053 D2.fcs,0.14,0.18,99.6,0.24,98.7,97.7,0.64,32.6,0.14,78.2,97.2,71.9,28.4,79.2,0.046,0.24,65.0,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,1.17,0.68,99.2,1.91,98.8,99.0,0.98,93.8,1.17,89.8,94.1,96.9,23.9,98.8,0,0.43,98.6,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,0.67,0.31,99.0,1.30,98.2,99.4,0.61,62.0,0.93,86.1,91.7,97.3,19.6,99.5,0.14,0.19,99.0,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,1.02,4.11,96.5,0.87,85.2,98.8,2.69,79.6,1.42,80.7,81.6,92.1,23.1,94.9,0.18,0.87,87.4,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,0.81,0.42,96.9,5.34,98.2,94.9,0.18,76.7,1.47,76.6,81.8,72.2,19.0,83.1,0.070,0.39,77.8,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,1.09,4.22,82.8,0.55,79.1,93.0,1.17,75.3,0.94,79.2,66.9,45.6,22.0,57.4,0,3.90,53.1,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,0.50,0.52,96.6,6.37,97.0,98.2,0.45,57.4,0.67,68.2,71.1,84.2,11.5,89.4,0.027,1.77,80.7,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,2.94,0.30,98.3,2.35,99.3,98.2,2.50,54.2,1.84,99.2,95.3,94.2,63.8,97.2,0.069,0.71,96.7,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,9.43,3.10,95.7,0.54,96.2,98.0,34.4,86.9,1.48,96.5,92.6,88.5,71.4,91.9,0.27,16.8,93.4,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,0.60,0.98,98.1,0.93,93.4,98.8,2.95,61.7,0.75,98.6,83.9,94.7,60.0,97.3,0.45,1.92,87.1,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,0.27,0.17,99.1,1.55,98.7,98.5,0.11,77.9,0.80,83.6,96.0,96.4,19.1,98.7,0.012,0.076,97.7,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,0.35,0.13,98.8,1.96,98.0,99.6,0.20,66.3,0.83,87.4,97.1,97.3,22.3,99.0,0.022,0.11,98.3,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,0.075,0.17,98.9,1.55,86.1,99.5,0.19,44.7,0.27,56.1,89.4,96.5,16.6,97.8,0.040,0.080,84.9,
