,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen Sirpa+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,0.039,0.078,21.2,99.2,76.6,5.17,0.19,33.9,0.12,8.05,96.4,4.70,2.18,97.8,0,0,0,
2022-08-30_2022-09-01_SAC253053 D2.fcs,0.12,0.031,24.8,98.9,88.1,5.77,0.12,53.9,0.094,16.9,95.9,2.43,1.59,97.5,0,0.062,0,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,0,0.67,49.0,98.7,74.5,24.2,2.01,61.7,0,20.8,61.7,6.71,3.36,71.1,0,1.34,9.40,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,0.51,0.22,20.7,96.6,83.4,21.3,8.18,77.0,0,20.5,67.8,3.51,16.1,71.4,22.9,1.75,2.12,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,4.03,0,45.2,99.2,40.3,12.9,3.23,74.2,0.81,29.8,75.8,5.65,5.65,81.5,0,0,0,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,0.30,0.30,33.8,96.6,83.8,12.2,0.30,79.0,0,21.6,55.5,3.35,5.18,73.8,0,4.57,7.32,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,0,0,16.3,94.1,54.1,5.19,0.74,84.4,0,41.5,28.9,0,2.22,26.7,0,5.19,1.48,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,0.68,0.46,33.3,95.4,59.1,18.0,0.23,70.8,0,21.7,51.1,8.45,7.31,58.2,0,3.88,2.28,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,2.33,0.23,24.9,99.3,74.2,16.0,0,47.7,0,61.4,81.6,5.81,7.67,90.7,0,0,0,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,1.49,0.25,7.20,99.3,74.2,12.9,0.25,78.9,0,70.5,82.1,0.50,2.48,91.8,0.74,0.25,0,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,3.61,0,23.3,98.1,50.3,13.3,0.56,71.7,0.28,71.7,84.4,6.67,5.28,90.6,0,0,1.94,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,1.00,0.75,31.0,98.6,78.0,7.25,0.83,79.5,0.25,30.2,87.8,12.6,4.67,92.2,0.33,0.25,3.83,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,0.24,0.38,16.4,98.2,78.5,16.8,2.60,64.6,0.035,24.2,59.9,3.63,11.6,62.0,17.0,0.17,1.45,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,0.96,3.08,24.9,95.2,38.5,16.8,1.54,65.7,1.93,17.5,87.1,13.1,4.62,88.1,0,0.19,0.39,
