,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes)/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,0.21,0.16,22.2,99.0,80.0,6.92,0.16,89.4,0.052,33.5,96.9,2.24,1.72,97.9,0.052,0.10,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,4.00,4.00,40.0,92.0,60.0,48.0,0,44.0,0,68.0,64.0,4.00,12.0,80.0,0,0,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,0,0,47.9,97.9,50.0,50.0,0,50.0,0,47.9,58.3,2.08,8.33,64.6,0,0,50.0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,0,0,40.8,100,54.1,44.9,1.02,59.2,1.02,57.1,66.3,0,8.16,71.4,0,0,7.14,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,0,0,47.6,95.2,23.8,81.0,0,19.0,0,23.8,28.6,0,4.76,57.1,0,0,28.6,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,0,0,25.6,97.4,25.6,30.8,0,53.8,0,48.7,43.6,0,2.56,61.5,0,0,15.4,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,1.94,1.94,39.8,97.1,56.3,42.7,2.91,47.6,1.94,52.4,58.3,0.97,10.7,68.0,0,0.97,42.7,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,5.56,5.56,38.9,88.9,50.0,66.7,0,44.4,5.56,50.0,55.6,5.56,16.7,72.2,0,0,38.9,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,0,0,23.8,95.2,33.3,57.1,0,42.9,0,47.6,52.4,0,19.0,66.7,0,0,28.6,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,67.9,85.7,25.0,78.6,0,21.4,3.57,10.7,10.7,0,14.3,32.1,0,0,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,33.3,88.9,66.7,44.4,0,55.6,0,11.1,0,0,0,33.3,0,11.1,11.1,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,0.79,0,46.5,96.9,33.1,59.1,0.79,35.4,0,33.9,29.9,0,9.45,48.0,0,0,3.15,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,38.2,85.5,32.7,60.0,0,41.8,0,43.6,36.4,5.45,18.2,41.8,0,0,20.0,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,44.3,94.3,47.1,41.4,2.86,60.0,0,47.1,44.3,0,14.3,60.0,2.86,0,17.1,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,46.1,96.1,66.4,42.1,0,62.5,0,53.3,63.2,1.32,12.5,71.1,0.66,0,45.4,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,48.0,84.0,68.0,32.0,0,76.0,0,64.0,56.0,0,0,68.0,0,0,28.0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,57.1,100,28.6,57.1,0,35.7,0,35.7,21.4,0,0,14.3,0,0,0,
