,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright)/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,7.98,0,47.5,0,0.38,66.9,0,0.38,0,0,0,0,0,2.66,0,0,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,0,0,76.5,0,0,64.7,0,0,0,11.8,0,0,0,0,0,0,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,14.3,0,100,0,0,85.7,0,0,0,10.7,0,0,3.57,3.57,0,0,0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,9.84,0,67.2,0,0,47.5,0,0,0,4.92,0,0,1.64,0,0,0,0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,2.17,0,73.9,0,0,78.3,0,0,0,6.52,0,0,0,2.17,0,0,0,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,6.90,0,50.0,0,0,53.4,0,0,0,19.0,0,0,0,0,0,0,0,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,1.84,0,88.3,0,0,77.9,0,0,0,7.98,0,0.61,0,0,0,0,0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,0,0,81.0,0,0,95.2,0,0,0,38.1,4.76,0,4.76,9.52,0,0,0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,0,0,36.8,0,0,78.9,0,0,0,47.4,0,0,0,0,0,0,0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,3.12,0,96.9,0,0,53.1,0,3.12,0,0,0,0,0,0,0,0,0,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,19.2,0,96.2,0,0,42.3,0,0,0,0,0,0,3.85,0,0,0,0,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,4.35,0,84.8,0,0,52.2,0,0,0,2.17,0,0,3.26,0,0,0,0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,2.20,0,87.9,0,0,81.3,0,0,0,2.20,0,0,0,0,0,0,0,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,7.58,0,92.4,0,0,31.8,0,1.52,0,7.58,0,0,1.52,0,0,0,0,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,1.24,0,95.0,0,0,84.5,0,0.31,0,1.24,0,0,0,0,0,0,0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,20.0,0,93.3,0,0,80.0,0,0,0,53.3,0,0,0,6.67,0,6.67,0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,14.3,0,71.4,0,0,71.4,0,0,0,14.3,0,0,0,0,0,0,0,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,12.5,0.17,53.0,0,0.17,68.8,0,0.50,0,0.17,0.17,0,0.17,2.83,0,0,0,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,19.6,0.12,64.6,0,0.12,73.9,0,0.36,0,0.24,0,0.60,0.12,3.38,0,0.12,0,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,16.2,0,37.0,0,0.19,51.9,0,0.37,0,0,0,0.37,0.19,2.04,0,0,0,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,23.9,0,77.3,0,0.45,83.8,0,0.75,0,0.30,0,0.75,0.30,1.20,0,0.15,0,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,11.7,0,51.6,0,0,58.4,0,0.24,0,1.47,0,0,0.98,2.44,0,0,0.24,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,8.83,0,65.6,0,0.89,83.0,0,0.78,0,0.22,0,0.11,0.22,0.78,0,0,0,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,15.4,0,64.6,0,0.33,84.9,0,0.98,0,0.98,0.98,0.33,0.66,6.56,0,0,0,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,15.9,0.15,11.6,0,0,71.6,0,0.44,0,0.44,0,0.59,0.44,2.21,0,0,0,
