,Time/Cells/Single Cells/Live | Freq. of Single Cells (%),Time/Cells/Single Cells/Live/CD45+ | Freq. of Live (%),"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)*** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim) | Freq. of NOT CD16-, CD56- (Total NK cells)*** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright) | Freq. of NOT CD16-, CD56- (Total NK cells)*** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)*** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/CD45low, CD16+ (Neutrophils) *** | Freq. of CD45+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141- CD1c+ (cDC2s) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141+, CD1c- (cDC1s) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141-, CD1c- (DN cDCs) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+ | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes) | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes) | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes) | Freq. of NOT CD45low, CD16+ (%)",
2024-11-14_SAC253053.fcs,98.0,96.7,56.1,7.21,91.1,2.13,7.82,1.73,0.62,0.38,1.02,76.6,6.11,17.2,24.9,20.9,1.17,2.84,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,85.0,97.3,86.7,3.53,89.5,2.86,1.34,0.17,1.41,0.50,0.47,28.6,0,71.4,5.18,4.44,0.44,0.30,
2024-11-14_Tasso ID 05 Tasso WB.fcs,94.0,99.3,77.4,2.36,77.8,3.30,2.76,4.82,0.53,0.31,0.24,70.6,1.47,27.9,15.8,14.3,1.07,0.44,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,96.2,97.4,75.5,2.94,85.7,2.93,1.96,1.90,0.77,0.58,0.50,84.8,3.25,11.6,17.2,15.3,1.01,0.81,
2024-11-14_Tasso ID 05 Vein WB.fcs,94.6,98.8,72.4,1.98,77.6,3.06,3.48,2.87,0.69,0.56,0.34,81.1,0,18.0,19.7,18.4,0.92,0.35,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,65.0,99.6,89.7,4.14,49.9,2.78,2.45,3.18,2.59,0.040,0.083,30.4,17.4,52.2,0.29,0.14,0.075,0.072,
2024-11-14_Tasso ID 07 Tasso WB.fcs,90.9,99.2,57.9,11.4,75.0,2.48,5.27,9.91,1.74,0.32,0.63,53.4,2.51,44.1,21.8,19.0,1.47,1.36,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,95.6,99.8,59.3,14.8,92.3,2.45,2.88,0.41,1.23,0.59,0.91,72.7,8.28,19.1,19.5,15.1,2.31,2.14,
2024-11-14_Tasso ID 07 Vein WB.fcs,88.2,99.4,53.2,12.3,75.8,3.20,5.74,8.01,2.28,0.44,0.67,48.6,1.65,49.4,24.4,21.2,1.45,1.78,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,82.7,99.0,66.6,5.05,69.0,4.62,9.16,11.3,0.46,0.58,0.52,52.4,2.10,45.5,16.4,13.6,2.37,0.37,
2024-11-14_Tasso ID 12 Tasso WB.fcs,87.5,99.7,42.8,3.73,73.1,3.99,5.08,21.1,0.84,0.70,0.66,71.1,1.03,27.8,45.5,40.1,4.52,0.85,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,96.2,99.5,59.3,5.83,83.8,5.06,3.21,0.31,0.21,0.55,0.76,75.8,5.28,18.7,29.3,25.8,1.93,1.62,
2024-11-14_Tasso ID 12 Vein WB.fcs,89.5,99.6,50.7,3.65,76.8,6.58,6.13,12.1,0.70,0.63,0.65,76.2,4.04,19.7,36.7,33.5,2.33,0.83,
2024-11-14_Tasso ID 17 Tasso WB SH.fcs,79.6,89.6,61.8,9.75,82.4,3.82,1.04,1.79,4.32,0.67,0.60,25.0,0,75.0,20.8,17.3,2.68,0.82,
2024-11-14_Tasso ID 17 Tasso WB.fcs,78.4,86.1,52.8,8.60,78.1,2.60,1.61,1.33,4.39,0.94,1.16,53.8,0,42.3,29.2,22.4,5.82,0.94,
2024-11-14_Tasso ID 17 Vein PBMC.fcs,95.5,98.0,55.7,10.3,83.7,2.79,1.31,1.98,1.62,0.49,1.07,70.6,2.25,26.8,28.4,19.9,6.54,2.04,
2024-11-14_Tasso ID 17 Vein WB.fcs,83.5,97.8,52.1,12.1,78.4,2.55,1.62,13.8,3.45,0.40,0.90,43.3,0,56.7,27.4,19.5,6.34,1.58,
