,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) ***/Phen Sirpa+ | Freq. of Parent (%)",
2024-11-14_SAC253053.fcs,4.33E-3,22.0,3.42,10.4,0.14,23.1,0.025,0.67,1.57,0.075,0.33,0.027,0.38,0.63,3.25E-3,0.26,2.17E-3,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,0,7.68,8.80,18.1,0,26.4,0.47,7.06,0.70,0.27,0.23,0,0.81,2.56,0,0.58,0,
2024-11-14_Tasso ID 05 Tasso WB.fcs,0.018,1.13,9.50,18.9,0.082,28.6,0.068,1.00,0.86,0.055,0.42,9.13E-3,2.30,11.5,4.56E-3,0.32,0,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,6.56E-3,15.5,8.09,22.2,0.46,26.0,0.044,1.20,1.40,0.048,0.70,0.011,0.40,20.8,1.64E-3,0.36,8.20E-4,
2024-11-14_Tasso ID 05 Vein WB.fcs,0.011,0.71,7.43,17.4,0.13,26.8,0.080,1.33,0.76,0.057,0.43,0.015,1.77,10.8,7.60E-3,0.28,0,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,4.00E-3,1.41,1.43,4.81,0.088,17.6,0.056,3.82,0.28,0.032,0.064,4.00E-3,1.06,0.060,0,0.46,4.00E-3,
2024-11-14_Tasso ID 07 Tasso WB.fcs,7.85E-3,0.082,1.28,6.18,0.29,21.9,0.086,1.24,0.45,0.051,0.15,3.92E-3,1.89,0.46,3.92E-3,0.39,3.92E-3,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,8.05E-3,32.2,1.67,8.08,0.12,24.0,0.13,1.26,0.96,0.056,0.38,4.02E-3,0.38,1.29,4.02E-3,0.78,4.02E-3,
2024-11-14_Tasso ID 07 Vein WB.fcs,0.010,0.098,1.28,6.14,0.12,20.3,0.041,1.22,0.49,0.057,0.29,0.010,1.32,0.49,5.17E-3,0.26,0,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,0,3.64,10.3,6.27,0.044,18.9,0.14,3.02,1.27,0.049,0.22,0.011,2.71,1.03,5.47E-3,0.45,0,
2024-11-14_Tasso ID 12 Tasso WB.fcs,0,0.71,7.13,6.75,0.13,21.1,0.063,0.79,1.56,0.095,0.22,0,2.59,2.85,0,0.52,0,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,0.012,26.7,10.7,9.73,0.041,18.4,0.051,1.20,3.06,0.047,0.32,4.08E-3,0.33,4.61,0,0.47,2.04E-3,
