,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)***/Phen Sirpa+ | Freq. of Parent (%)",
2024-11-14_SAC253053.fcs,0.12,74.2,20.0,2.95,31.1,57.2,77.9,18.7,14.8,3.48,3.68,0.78,3.02,4.79,3.65,0.83,7.78E-3,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,0,82.5,12.5,5.00,5.00,72.5,72.5,20.0,17.5,5.00,5.00,0,0,2.50,0,2.50,0,
2024-11-14_Tasso ID 05 Tasso WB.fcs,0.26,78.5,12.8,1.92,9.23,64.6,88.7,12.3,32.7,0.90,6.28,0,2.69,1.41,0.13,0.64,0,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,0.13,89.8,29.4,3.16,11.9,65.5,88.4,16.6,49.3,1.96,6.70,0.41,2.08,2.12,0.63,1.20,0.063,
2024-11-14_Tasso ID 05 Vein WB.fcs,0,80.1,10.8,3.88,7.75,65.6,89.0,12.6,27.6,0.63,5.46,0.40,2.06,2.06,0.63,0.24,0,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,0,7.20,16.2,5.73,18.6,47.4,78.3,24.1,9.10,1.47,0.59,0.15,5.58,0.88,1.91,1.32,0.15,
2024-11-14_Tasso ID 07 Tasso WB.fcs,0.13,38.1,8.62,3.53,19.1,57.7,85.3,12.6,9.70,1.90,1.68,0.34,7.20,2.20,3.97,0.65,0.043,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,0.46,72.9,24.6,6.06,29.1,67.8,78.9,15.0,12.9,5.31,5.85,0.91,3.36,7.63,1.49,3.98,0.50,
2024-11-14_Tasso ID 07 Vein WB.fcs,0.24,34.7,7.14,3.79,10.9,57.3,88.7,8.92,8.82,1.34,1.92,0.43,3.02,2.73,1.49,0.38,0.096,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,0.040,66.0,11.6,1.15,8.67,56.9,89.5,5.81,16.3,1.11,1.19,0.16,2.70,1.43,0.16,0.52,0.040,
2024-11-14_Tasso ID 12 Tasso WB.fcs,0.13,72.0,12.6,1.86,8.79,53.1,90.4,9.99,18.8,1.07,4.53,0.40,2.93,0.93,0.27,0.53,0,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,0.19,84.6,29.3,1.73,19.5,52.1,89.7,13.4,34.8,2.45,4.86,0.30,1.24,2.26,1.28,0.90,0.45,
2024-11-14_Tasso ID 12 Vein WB.fcs,0.048,69.7,12.9,1.67,9.16,53.6,94.4,9.64,21.8,1.05,3.63,0.48,2.67,1.67,0.48,0.14,0,
