,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/Phen Sirpa+ | Freq. of Parent (%)",
2024-11-14_SAC253053.fcs,4.81,23.1,27.6,0,19.1,89.3,1.54,12.1,0.059,85.0,76.2,56.7,3.80,30.0,0.059,0.12,0.059,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,7.14,7.14,42.9,0,50.0,57.1,0,28.6,0,42.9,50.0,21.4,0,50.0,0,7.14,0,
2024-11-14_Tasso ID 05 Tasso WB.fcs,5.88,10.3,39.7,0,70.6,83.8,0,25.0,0,79.4,70.6,58.8,22.1,61.8,0,1.47,0,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,4.12,29.0,30.2,0,64.7,97.3,1.62,9.36,0.25,90.8,78.5,68.4,10.7,65.9,0,0.50,0.12,
2024-11-14_Tasso ID 05 Vein WB.fcs,4.10,4.10,33.6,0,68.9,92.6,0.82,14.8,1.64,83.6,84.4,66.4,21.3,63.9,0,0,0,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,8.70,13.0,52.2,0,21.7,95.7,0,30.4,0,43.5,34.8,4.35,13.0,4.35,0,4.35,4.35,
2024-11-14_Tasso ID 07 Tasso WB.fcs,5.38,3.23,55.6,0,23.3,86.7,1.08,13.3,0.72,57.3,59.5,33.0,20.1,45.9,0,0.36,26.5,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,11.0,32.3,44.2,0,41.7,95.5,2.37,5.91,0,79.4,75.2,53.6,12.4,62.3,0,1.05,33.0,
2024-11-14_Tasso ID 07 Vein WB.fcs,9.05,1.23,50.6,0,21.8,82.3,1.23,17.7,0,57.2,63.4,28.0,14.0,56.0,0,1.65,22.6,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,5.59,4.20,28.7,0,30.8,74.1,0.70,40.6,0.70,57.3,77.6,25.9,25.2,43.4,0,0.70,1.40,
2024-11-14_Tasso ID 12 Tasso WB.fcs,9.28,2.06,33.0,0,21.6,84.5,1.03,14.4,0,81.4,61.9,58.8,18.6,66.0,0,0,3.09,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,11.0,29.4,26.6,0,30.6,93.1,0.48,9.12,0.16,85.3,65.4,65.8,12.5,64.2,0,0.16,2.24,
2024-11-14_Tasso ID 12 Vein WB.fcs,8.07,4.93,35.0,0,28.7,90.1,0,14.3,0.45,80.3,69.5,62.3,30.9,65.0,0,0.45,3.14,
2024-11-14_Tasso ID 17 Tasso WB SH.fcs,0,0,12.5,0,50.0,43.8,0,68.8,0,81.2,81.2,18.8,12.5,56.2,0,0,0,
2024-11-14_Tasso ID 17 Tasso WB.fcs,0,34.6,11.5,0,53.8,65.4,0,38.5,0,80.8,76.9,42.3,7.69,65.4,0,0,0,
2024-11-14_Tasso ID 17 Vein PBMC.fcs,3.92,28.7,18.0,0,58.5,83.0,1.61,19.8,0.064,85.1,84.9,60.5,7.65,72.0,0.13,0.45,0,
2024-11-14_Tasso ID 17 Vein WB.fcs,5.77,4.81,28.8,0,54.8,58.7,0.96,46.2,0,70.2,72.1,34.6,5.77,64.4,0,0,0,
2024-11-14_Tasso ID 18 Tasso WB SH.fcs,11.6,9.30,34.9,0,23.3,79.1,6.98,27.9,2.33,60.5,32.6,30.2,6.98,34.9,2.33,2.33,18.6,
2024-11-14_Tasso ID 18 Tasso WB.fcs,12.8,8.26,34.9,0,35.8,88.1,1.83,14.7,0,77.1,69.7,47.7,27.5,69.7,0,0,38.5,
