,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim)/Phen Sirpa+ | Freq. of Parent (%)",
2024-11-14_SAC253053.fcs,9.26E-3,0,85.3,100,0.23,95.2,0,0.90,0,2.98,0.028,9.26E-3,0.34,61.6,0,0.16,0,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,0,0,86.2,100,0,81.9,0,8.51,0,19.1,0,0,0,9.57,0,2.13,0,
2024-11-14_Tasso ID 05 Tasso WB.fcs,0,0,90.2,100,0,85.9,0,4.05,0,6.36,0,0,3.08,42.4,0,0,0,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,0,0,77.1,100,0.47,87.6,0,1.90,0,10.5,0,0,0.47,62.4,0,0.30,0,
2024-11-14_Tasso ID 05 Vein WB.fcs,0,0,84.6,100,0,85.3,0,4.49,0,5.57,0,0,1.97,43.3,0,0.36,0,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,0,0,98.8,100,0.17,95.1,0,33.4,0,4.17,0,0,0.52,34.3,0,0.17,0.17,
2024-11-14_Tasso ID 07 Tasso WB.fcs,0.027,0,93.3,100,0.27,97.2,0.027,12.3,0,11.0,0.027,0,1.63,63.5,0,0.19,0,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,8.71E-3,0,88.8,100,0.21,97.6,0.017,5.81,0,16.8,0.078,0.026,0.40,84.9,0,0.52,8.71E-3,
2024-11-14_Tasso ID 07 Vein WB.fcs,0,0,92.5,100,0.12,96.9,0,10.5,0,5.64,0,0,1.12,61.4,0,0.18,0,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,0,0,99.6,100,3.45,88.6,0,22.9,0,5.02,0.94,0,2.09,47.8,0,1.88,0.10,
2024-11-14_Tasso ID 12 Tasso WB.fcs,0,0,97.0,100,0.50,93.5,0,8.44,0,6.20,0,0,3.23,60.5,0,0.25,0,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,0,0,88.5,100,0.25,94.2,0,5.47,0,19.6,0.074,0,0.40,82.0,0,0.27,0,
2024-11-14_Tasso ID 12 Vein WB.fcs,0,0,95.3,100,0.10,92.8,0,6.68,0,9.19,0,0,1.57,66.9,0,0.21,0,
2024-11-14_Tasso ID 17 Tasso WB SH.fcs,0,0,65.7,100,0,53.7,0,19.9,0,18.1,0,0,1.85,10.6,0,0.46,0,
2024-11-14_Tasso ID 17 Tasso WB.fcs,0,0,74.0,100,0,50.0,0.67,9.33,0,14.7,0,0,2.67,19.3,0,2.00,0,
2024-11-14_Tasso ID 17 Vein PBMC.fcs,0,0,62.3,100,0.87,48.0,0,2.88,0,4.51,0.024,0,0.67,45.8,0,0.25,0.016,
2024-11-14_Tasso ID 17 Vein WB.fcs,0,0,61.4,100,0.090,42.1,0,8.69,0,6.43,0,0,2.35,18.3,0,0.090,0,
2024-11-14_Tasso ID 18 Tasso WB SH.fcs,0,0,97.2,100,1.42,92.9,0,26.2,0,14.2,0,0,0.71,29.1,0,0.71,1.42,
2024-11-14_Tasso ID 18 Tasso WB.fcs,0,0,99.4,100,0.32,94.6,0.32,8.25,0,4.13,0,0,3.81,70.2,0,0.32,0,
2024-11-14_Tasso ID 18 Vein PBMC.fcs,0.023,0,93.9,100,0.11,94.0,0,3.82,0,10.9,0.045,0,0.39,86.0,0,0.30,0.023,
2024-11-14_Tasso ID 18 Vein WB.fcs,0,0,96.8,100,0.32,94.0,0,8.54,0,5.54,0,0,2.69,71.7,0,0.16,0,
2024-11-14_Tasso ID 19 Tasso WB SH.fcs,0,0,98.7,100,0,81.9,0,27.9,0,3.02,0,0,1.51,15.1,0,0,0,
2024-11-14_Tasso ID 19 Tasso WB.fcs,0,0,95.7,100,1.15,83.8,0.14,5.17,0,3.74,0,0,2.44,20.1,0,0,0.86,
2024-11-14_Tasso ID 19 Vein PBMC.fcs,0,0,91.3,100,2.13,82.2,0,2.62,0,6.26,0.019,0.056,0.82,56.7,0,0.33,1.14,
2024-11-14_Tasso ID 19 Vein WB.fcs,0.043,0,93.3,100,0.72,83.5,0,3.75,0,3.02,0.043,0.043,4.17,21.2,0,0.21,0.043,
2024-11-14_Tasso ID 20 Tasso WB SH.fcs,0,0,91.4,100,2.86,81.6,0,31.8,0,28.6,0.82,0,1.22,8.98,0,2.45,1.63,
2024-11-14_Tasso ID 20 Tasso WB.fcs,0,0,84.2,100,0.70,87.3,0,17.6,0,18.7,0,0,1.41,29.6,0,1.06,0.35,
2024-11-14_Tasso ID 20 Vein PBMC.fcs,0,0,85.5,100,0.21,88.6,0.076,10.0,0.057,13.6,0.038,0,0.31,56.9,0,0.29,0.076,
2024-11-14_Tasso ID 20 Vein WB.fcs,0,0,80.0,100,0,92.7,0,23.7,0,8.84,0,0,1.38,27.5,0,0.098,0,
2024-11-14_Tasso ID 21 Tasso WB SH.fcs,0,0,75.3,100,4.27,62.8,0.18,13.3,0,16.1,0.091,0,1.05,17.0,0,2.77,4.00,
2024-11-14_Tasso ID 21 Tasso WB.fcs,0.047,0,78.4,100,0.56,71.5,0.047,2.57,0,16.8,0.047,0,1.54,39.5,0,0.19,0.28,
2024-11-14_Tasso ID 21 Vein PBMC.fcs,0.021,0,66.8,100,0.60,76.3,0.011,2.52,0,27.5,0.021,0.011,0.30,67.0,0,0.13,0,
2024-11-14_Tasso ID 21 Vein WB.fcs,0,0.023,76.3,100,0.61,73.7,0.045,2.01,0,13.5,0.045,0.023,2.84,34.1,0,0.16,0,
