"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DYHF","DYTS","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72793524234","2022-09-01T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.01","58","61","0.00",,"-0.02","3","90","30.01","CLR:00","29.98","10.00","59","180",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10109/01/22 00:53:02 METAR KBFI 010853Z 18006KT 10SM CLR 16/14 A3001 RMK AO2 SLP163 T01610144 53007 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T01:51:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.02","57","61",,,,,"88",,"SCT:04 11 BKN:07 16","29.99","10.00","59","170",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09309/01/22 01:51:02 SPECI KBFI 010951Z 17004KT 10SM SCT011 BKN016 16/14 A3002 RMK AO2 FIBI (MB)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.02","58","61","0.00",,,,"90","30.02","SCT:04 11 BKN:07 16","29.99","10.00","59","180",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10509/01/22 01:53:02 METAR KBFI 010953Z 18004KT 10SM SCT011 BKN016 16/14 A3002 RMK AO2 SLP166 T01610144 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T02:51:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.02","57","61",,,,,"88",,"OVC:08 10","29.99","10.00","59","190",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET08609/01/22 02:51:02 SPECI KBFI 011051Z 19005KT 10SM OVC010 16/14 A3002 RMK AO2 FIBI (MB)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.02","58","61","0.00",,,,"90","30.02","OVC:08 10","29.99","10.00","59","180",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09809/01/22 02:53:02 METAR KBFI 011053Z 18005KT 10SM OVC010 16/14 A3002 RMK AO2 SLP166 T01610144 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.02","58","60","0.00",,"+0.00","8","93","30.02","OVC:08 10","29.99","10.00","59","190",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11609/01/22 03:53:02 METAR KBFI 011153Z 19005KT 10SM OVC010 16/14 A3002 RMK AO2 SLP165 T01560144 10183 20156 58001 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T04:48:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.02","57","61",,,,,"88",,"OVC:08 8","29.99","10.00","59","170",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET08109/01/22 04:48:02 SPECI KBFI 011248Z 17004KT 10SM OVC008 16/14 A3002 RMK AO2 (MB)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.02","58","60","0.00",,,,"93","30.02","OVC:08 8","29.99","10.00","59","170",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09809/01/22 04:53:02 METAR KBFI 011253Z 17007KT 10SM OVC008 16/14 A3002 RMK AO2 SLP165 T01560144 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T05:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.03","58","60","0.00",,,,"93","30.03","OVC:08 8","30.00","10.00","59","210",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09809/01/22 05:53:02 METAR KBFI 011353Z 21003KT 10SM OVC008 16/14 A3003 RMK AO2 SLP170 T01560144 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.05","58","60","0.00",,"-0.03","3","93","30.05","OVC:08 8","30.02","10.00","59","VRB",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10409/01/22 06:53:02 METAR KBFI 011453Z VRB03KT 10SM OVC008 16/14 A3005 RMK AO2 SLP175 T01560144 53010 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.06","58","61","0.00",,,,"90","30.06","OVC:08 8","30.03","10.00","59","240",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09809/01/22 07:53:02 METAR KBFI 011553Z 24004KT 10SM OVC008 16/14 A3006 RMK AO2 SLP179 T01610144 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T08:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.07","59","61","0.00",,,,"93","30.06","OVC:08 6","30.04","10.00","60","200",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09809/01/22 08:53:02 METAR KBFI 011653Z 20004KT 10SM OVC006 16/15 A3007 RMK AO2 SLP181 T01610150 (MB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T09:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.07","58","62","0.00",,"-0.02","1","86","30.06","OVC:08 9","30.04","10.00","60","VRB",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11609/01/22 09:53:02 METAR KBFI 011753Z VRB03KT 10SM OVC009 17/14 A3007 RMK AO2 SLP181 T01670144 10167 20156 51006 (JP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T10:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.05","59","63","0.00",,,,"87","30.05","OVC:08 9","30.02","10.00","61","VRB",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09809/01/22 10:53:02 METAR KBFI 011853Z VRB03KT 10SM OVC009 17/15 A3005 RMK AO2 SLP177 T01720150 (JP)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T11:21:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.04","59","64",,,,,"84",,"OVC:08 12","30.01","10.00","61","190",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09109/01/22 11:21:02 SPECI KBFI 011921Z 19005KT 10SM OVC012 18/15 A3004 RMK AO2 T01780150 (KB)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T11:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.04","59","65","0.00",,,,"81","30.04","OVC:08 13","30.01","10.00","61","220",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09809/01/22 11:53:02 METAR KBFI 011953Z 22003KT 10SM OVC013 18/15 A3004 RMK AO2 SLP172 T01830150 (KB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","2022-09-01T12:22:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.03","59","67",,,,,"76",,"BKN:07 15","30.00","9.00","62","180",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09009/01/22 12:22:02 SPECI KBFI 012022Z 18003KT 9SM BKN015 19/15 A3003 RMK AO2 T01940150 (KB)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
