,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,0.98,0.16,47.1,98.4,0.16,10.5,0.71,98.3,0,100,0,0.60,0.82,0.22,0,0.44,7.40,0.54,
2022-08-30_2022-09-01_SAC253053 D2.fcs,1.96,1.23,46.8,99.2,0.18,9.22,0.82,98.5,0.091,100,0,0.27,1.51,1.05,0.18,0.55,11.6,0.78,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,1.25,0.16,70.5,99.7,1.41,5.80,0.31,98.1,0.16,100,0,2.19,3.29,0.31,0.47,0.47,1.88,1.41,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,0.80,0,67.8,97.7,0.31,20.5,0.37,76.3,0,100,0,0.49,1.73,0.12,0,0.18,0.99,2.96,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,11.0,0.19,76.7,99.8,0.57,5.95,0.28,99.3,0.095,100,0,1.70,1.65,0.19,0.047,0.43,2.46,2.65,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,2.41,0.13,71.2,99.7,0.89,4.50,0.23,98.8,0,100,0,7.37,1.96,0.25,0,0.063,2.47,0.65,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,7.73,0.11,71.7,99.2,0.22,1.42,0.76,98.1,0.11,100,0,0.44,0.33,0.65,0,0.33,2.83,0.54,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,5.70,0.38,72.2,96.8,0.57,9.32,0.57,74.0,0.38,100,0,0.19,0.57,0.57,0.38,0.38,1.52,1.33,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,24.4,0.46,73.7,99.9,0.18,3.19,1.28,99.5,0.36,100,0,0.091,0.36,0.55,0.18,0.91,3.46,0.73,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,11.2,0.22,72.5,99.9,0.090,2.29,1.03,99.5,0.36,100,0.045,0.090,0.36,0.22,0,0.045,5.07,0.22,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D0 Fresh.fcs,18.0,4.75,77.6,99.7,1.36,7.80,2.71,96.6,0.34,100,0.34,0.34,1.69,4.41,0,2.03,3.73,1.36,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D2 Fresh.fcs,5.75,1.40,75.4,98.6,0.16,17.0,1.09,80.4,0.31,100,0.16,0.31,0.62,0.93,0.16,1.09,1.56,1.56,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC D0 Fresh.fcs,30.0,6.81,76.7,99.4,1.36,14.4,1.75,96.1,0.58,100,0.39,1.36,2.33,4.67,0.97,1.75,3.11,16.3,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,2.83,0,77.4,99.0,0.68,9.64,1.81,98.5,0.23,100,0,1.47,0.79,0.23,0,0,2.27,0,
