,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,27.4,7.67,95.5,97.1,12.2,0.37,0.16,65.6,0.020,9.16,0.036,0.012,1.66,9.60,0.13,0.38,1.90,5.56,
2022-08-30_2022-09-01_SAC253053 D2.fcs,39.0,10.4,95.2,97.4,17.0,0.46,0.20,68.9,0.028,9.05,0.028,0.011,2.70,15.5,0.13,0.55,2.05,5.60,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,40.2,10.1,93.7,99.4,23.3,0,0,66.9,0.29,21.6,0.15,1.46,3.64,19.7,0.58,0.58,5.69,2.77,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,27.3,7.37,96.8,99.4,25.7,0.17,0.085,42.4,0.043,11.8,0.043,0.34,1.28,10.6,0.17,0.30,1.36,4.31,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,50.6,9.40,92.7,99.4,19.9,0.15,0.67,71.7,0.074,22.8,0.074,1.15,2.52,20.0,0.78,1.37,7.59,3.07,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,36.2,5.32,93.2,98.9,20.8,0.017,0.38,67.8,0.083,16.3,0.066,7.64,2.24,16.0,0.033,0.60,6.11,1.25,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,45.1,6.49,96.5,98.8,15.9,0.098,0.46,64.2,0,15.8,0,0.33,1.51,15.8,0.066,1.83,2.88,1.61,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,31.6,7.35,97.7,97.3,12.9,0.33,0.15,31.5,0.036,9.71,0,0.036,0.80,8.88,0.40,1.02,0.62,3.86,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,58.6,11.7,97.3,98.9,16.3,0.27,0.50,77.0,0.030,19.5,0.046,0.015,1.28,18.6,2.45,3.25,2.40,2.78,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,46.5,7.06,96.9,99.4,14.7,0.13,0.36,75.2,0.050,16.2,0.013,0.013,1.41,16.7,0.013,2.59,2.98,1.77,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D0 Fresh.fcs,58.3,7.83,96.6,99.4,11.9,0.062,0.062,74.8,0.062,10.9,0,0.031,1.52,16.0,0.062,0.40,1.98,1.52,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D2 Fresh.fcs,47.5,5.90,97.4,99.8,10.7,0.17,0.049,60.9,0.049,8.30,0.032,0.016,1.46,11.2,0.057,0.30,0.83,3.64,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC D0 Fresh.fcs,73.0,9.14,95.6,99.6,12.6,0.19,0.19,79.8,0.14,14.7,0.039,0.078,2.18,19.1,0.61,0.78,2.69,7.29,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,51.2,5.07,96.1,99.9,9.91,0.057,0.036,84.2,0.036,9.80,0.029,0.043,1.54,14.1,7.13E-3,0.41,2.20,0.72,
