,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,14.9,0.30,99.7,55.3,1.76,0.35,0.23,51.5,0.026,0.16,0.069,0.043,0.44,0.43,8.64E-3,8.64E-3,0.035,14.1,
2022-08-30_2022-09-01_SAC253053 D2.fcs,23.5,0.49,99.7,57.3,2.29,0.35,0.093,48.6,0.037,0.20,0.028,0.019,1.12,0.92,0.028,0,0.047,15.8,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,15.4,0.90,97.4,75.5,7.61,0.20,0.80,56.1,0,0.60,0.50,2.60,0.70,0.40,0.20,1.40,0,5.91,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,12.2,0.33,98.8,62.1,4.20,0.077,0.026,28.2,0.10,0.33,0.077,0.95,1.15,0.10,0,0.20,0,9.48,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,24.8,0.14,96.9,87.5,5.74,0.23,1.24,60.7,0.25,0.65,0.17,3.17,0.25,0.40,0.085,1.95,0.085,10.3,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,14.1,0.20,96.8,65.8,4.84,0.039,0.63,55.8,0.026,0.35,0.23,12.1,0.25,0.26,0.013,1.49,0.026,5.53,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,48.6,0.83,99.9,68.3,3.30,0.11,0.49,49.6,0.038,0.45,0.56,0.34,0.45,0.79,0.075,0,0.15,7.92,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,44.4,0.73,100,65.2,2.29,0.21,0.21,20.9,0,0.31,0.10,0.052,0.88,0.21,0.052,0,0,14.6,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,64.7,0.38,99.8,90.8,5.14,0.17,0.76,69.0,0.028,0.68,0.17,0.057,0.38,0.79,0.58,0.099,0.16,13.5,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,48.5,0.71,99.8,79.4,3.61,0.093,0.87,64.0,0.053,0.40,0.080,0.080,0.43,0.48,0,0.013,0.11,8.11,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D0 Fresh.fcs,48.7,1.13,100,84.1,1.35,0.071,0,72.3,0.071,0.28,0.50,0,0.21,0.85,0.14,0.071,0,5.03,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D2 Fresh.fcs,39.3,0.48,100.0,82.6,1.29,0.12,0.020,55.2,0.060,0.30,0.14,0.040,1.01,0.24,0.020,0.040,0.020,9.28,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC D0 Fresh.fcs,62.0,1.07,99.6,94.8,1.40,0.090,0.12,76.8,0.030,0.21,0.78,0,0.51,0.90,0.12,0,0,16.9,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,41.6,0.42,99.9,86.4,1.03,0.015,0.045,79.5,0.060,0.18,0.090,0.075,0.36,0.34,0.060,0.030,0.015,3.26,
