,"Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,91.5,1.02,14.8,0.026,16.7,0.17,0.34,0.14,7.64,10.1,0.19,0.15,100.0,0.10,0.078,0.11,0.32,4.54,
2022-08-30_2022-09-01_SAC253053 D2.fcs,95.8,1.53,16.7,0.016,23.1,0.23,0.44,0.088,18.8,5.53,0.50,0.14,100.0,0.064,0.024,0.088,0.58,3.07,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,96.3,1.12,37.8,1.50,22.8,1.50,1.50,1.87,19.9,3.37,0.75,1.50,99.3,1.12,1.12,1.50,2.25,4.87,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,83.2,0.42,20.5,0.11,15.8,1.09,0.28,0.14,21.4,11.8,0.084,0.17,99.9,0.25,0.19,0.22,0.22,0.81,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,99.1,1.13,29.7,1.86,23.0,0.73,0.32,0.32,24.2,4.77,0.89,0.81,99.9,0.081,1.46,0.65,1.70,5.50,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,98.6,0.72,27.1,0.053,19.4,0.35,0.29,0.32,21.8,4.38,0.27,15.3,99.8,0.19,0.11,0.35,1.36,3.37,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,95.4,1.19,36.9,0.40,21.9,0.66,0.26,0.79,10.2,6.07,3.56,0.13,99.3,0.13,0.53,0.92,0.66,6.33,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,81.8,1.14,17.2,1.02,11.1,1.02,0.68,0,18.5,6.59,0.57,0,99.9,0.23,0.34,0.11,0.57,2.50,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,98.1,2.97,55.8,0.64,33.3,1.49,0.42,4.03,7.01,16.1,2.34,0.42,99.6,0,11.9,1.70,2.55,12.5,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,97.8,1.40,36.3,0.044,24.5,0.22,0.57,1.45,9.69,14.7,0.79,0.39,99.4,0.18,0.31,0.57,1.45,4.69,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D0 Fresh.fcs,81.7,0.68,31.3,1.23,43.8,0.68,0.14,4.79,9.99,10.5,5.47,0.82,98.9,0.27,1.23,1.09,0.27,19.2,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D2 Fresh.fcs,87.4,0.30,14.1,0.21,20.5,1.81,0.23,0.18,24.5,9.41,0.68,0.25,99.9,0.23,0.089,0.16,0.21,1.23,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC D0 Fresh.fcs,98.6,1.64,35.5,21.3,37.0,0.78,0.36,4.28,18.9,10.8,3.00,0.21,99.9,0,6.28,1.71,0.78,20.3,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,81.1,0.33,18.9,0.074,37.7,0.22,0.15,1.31,12.8,9.72,0.56,0.69,99.8,0.12,0.11,0.36,0.77,17.4,
