,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,72.1,9.11,96.3,94.5,8.94,0.35,0.14,63.5,0.044,6.26,0.022,0.035,1.36,10.6,0.096,0.035,2.31,4.22,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,73.1,3.73,97.9,97.9,23.7,0,0.27,50.1,0.53,8.53,0,0.53,4.80,14.1,6.40,0.27,5.33,14.7,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,73.7,9.85,87.4,99.2,9.53,0,0.32,69.3,0.65,9.37,0,0.81,6.30,24.6,0.65,0.48,4.85,19.7,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,57.4,2.78,90.1,98.6,18.5,0.14,0.28,56.1,0.70,10.0,0.14,0,2.50,13.8,1.25,0,3.34,18.4,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,18.2,1.48,84.7,87.9,13.5,0,0.25,55.2,0,7.39,0.25,0.25,0.74,7.39,0,0.49,1.23,11.1,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,62.6,4.71,89.2,96.0,7.74,0,0,42.8,1.35,7.74,0,1.35,18.2,24.9,3.03,1.01,12.5,9.43,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,64.2,4.23,95.2,98.6,14.8,0.21,0.11,56.8,0.21,7.51,0.32,0.11,0.53,9.51,0.74,0.11,2.22,21.0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,74.4,3.47,96.5,98.9,12.1,0.43,0,65.3,0.22,10.4,0.22,1.08,2.60,24.5,1.95,0.22,4.56,13.7,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,50.1,7.00,88.7,98.0,7.00,0,0.45,54.0,0.45,11.1,0,0,4.06,10.4,1.13,0,2.93,27.1,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,62.4,6.04,95.5,97.6,14.8,0.18,0.89,55.7,0,10.1,0,0.089,1.69,16.2,0.62,0.27,2.49,9.07,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,43.4,7.25,92.5,99.1,1.83,21.4,0.45,64.6,0.41,8.27,0,0.29,1.75,11.5,0.041,0.49,1.26,17.7,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,58.8,2.00,89.0,99.0,25.8,0.14,0.14,45.1,0,7.85,0,0,1.85,13.8,1.00,0.29,2.85,19.0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,26.5,3.67,89.5,98.4,9.71,0.52,0,55.4,0.52,21.5,0,0,1.05,6.56,1.84,0.26,2.62,16.8,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,76.0,7.43,79.5,98.3,5.94,0.74,0.74,49.8,1.98,5.45,0.50,1.24,15.1,25.5,0.99,0.50,12.9,9.41,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,61.2,4.05,95.1,98.2,12.2,0.88,0.32,42.5,0.049,8.34,0,0.049,1.10,8.56,0.66,0.098,2.23,16.7,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,63.6,2.42,94.8,98.0,10.5,0.56,0.093,46.7,0,11.7,0.093,0.19,1.67,17.6,0.28,0.093,1.12,13.1,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,82.1,15.1,89.3,100,4.76,1.98,1.19,67.9,1.19,13.5,0.40,0,1.98,15.5,0.79,0,5.95,43.7,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,79.3,6.42,97.2,98.0,22.1,0.069,0.32,68.0,0.18,7.39,0.035,0.12,2.28,18.2,1.01,0.058,2.96,6.78,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,79.9,20.9,91.2,99.4,7.20,0.22,0.91,85.1,0.32,11.9,0.020,0.54,5.90,30.6,0.56,0.93,5.37,10.5,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,82.6,7.54,93.3,99.4,22.2,0.11,0.41,70.7,0.20,10.2,0.043,0.085,1.88,23.3,0.52,0.067,4.64,10.4,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,69.2,12.0,91.9,99.6,13.6,0.32,0.42,77.2,0.13,18.6,0.063,0.083,1.32,23.3,0.85,0.38,5.19,15.4,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,88.3,12.9,84.1,98.1,9.76,0.40,0.29,67.1,1.12,9.54,0.072,3.29,17.6,37.0,1.19,1.12,17.8,6.76,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,84.5,9.63,95.8,99.7,16.3,0.22,0.47,76.7,0.12,9.45,6.08E-3,0.22,1.56,18.3,0.66,0.030,4.85,9.42,
