,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,70.9,2.40,99.9,48.1,1.43,0.18,0.20,50.7,0.028,0.13,0.014,0.056,0.37,0.69,0.028,0,0.056,12.3,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,73.2,4.75,100,66.9,5.09,0,0.17,47.2,0.17,0.34,0,0,0.34,0.68,0.68,0,0,30.7,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,77.8,4.39,98.6,84.2,2.20,0,1.03,55.6,0.39,0,0,1.16,0.90,0.39,0.39,0,0,30.2,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,71.3,4.20,99.8,93.3,3.68,0.088,0,55.9,0.18,0.18,0.088,0.26,0.088,0.35,0.088,0.088,0.088,46.6,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,21.0,1.88,99.1,31.0,4.39,0,0.63,50.5,0,0,0,0,0,0.94,0,0,0,29.2,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,74.8,11.7,99.3,79.9,3.05,0.20,0.39,27.7,0.27,0.20,0.039,0.70,1.09,0.70,0.078,0.039,0.20,27.1,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,75.0,3.43,100,91.8,2.32,0.093,0.093,57.1,0.56,0,0,0.19,0.19,0.093,0,0,0,38.5,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,75.1,7.40,98.6,83.9,3.97,0.18,0,50.5,0,0,0,1.44,0.72,1.26,0.36,0,0,29.8,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,47.0,12.1,99.7,80.6,1.82,0,0,49.1,0.61,0.30,0,0.30,0.30,1.21,0.30,0,0,53.0,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,55.9,3.82,99.8,47.2,3.25,0,0.16,63.9,0.16,0.16,0,0.41,0.65,0.57,0,0,0.081,24.3,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,42.2,3.68,99.8,49.4,0.77,0.80,1.63,39.3,0.19,0.064,0,0.064,0.90,0.064,0.032,0,0,21.8,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,66.1,3.13,99.7,92.9,3.95,0,0.16,43.5,0.082,0.082,0,0.082,0.16,0.41,0,0.082,0,48.1,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,35.4,3.17,98.9,68.8,7.67,0.53,0.79,36.2,0,0,0,0.26,0,0.53,0,0,0.26,38.9,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,67.8,6.12,99.8,76.6,2.49,0.12,0.26,17.5,0.29,0.16,0,0.10,1.75,0.74,0.069,0,0.16,24.9,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,76.1,3.48,99.8,88.4,1.89,0.16,0.10,38.3,0.078,0.21,0.026,0.026,0.57,0.42,0,0.10,0.078,33.0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,68.7,2.92,99.2,80.6,2.50,0.17,0.33,26.8,0.083,0.083,0.083,0.42,3.50,0.25,0.083,0,0,28.7,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,80.3,18.8,99.3,88.2,1.64,0.66,0.99,50.3,3.62,0.33,0,0.66,0.99,0.33,0,0,0.66,61.2,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,78.0,1.18,100.0,42.6,5.38,0.075,0.066,64.3,0.075,0.17,0.017,0.11,0.52,0.58,0.24,0.017,0.041,27.7,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,82.0,4.32,99.7,65.4,2.55,0.11,1.06,76.0,0.21,0.25,8.61E-3,0.40,0.81,0.81,0.060,0.043,0.11,26.2,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,88.9,1.61,99.9,91.4,5.44,0.059,0.50,71.3,0.12,0.21,0,0.082,0.45,1.84,0.082,0.022,0.12,37.4,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,62.6,1.42,100,52.1,7.68,0.29,0.63,64.0,0.015,0.10,0,0.029,0.16,1.05,0.19,0,0.10,36.3,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,88.3,5.81,99.5,82.5,5.42,0.24,0.60,40.0,0.35,0.19,0.065,0.67,1.90,2.30,0.16,8.17E-3,0.68,27.9,
