,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/CD161+, MR1+ (MAIT cells Total) ***/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,1.10,1.10,55.8,98.9,0,3.87,1.10,95.6,0,100,0,1.10,1.10,1.10,0,1.10,0.55,0.55,
2024-11-13_Tasso ID 07 Tasso WB.fcs,0,0,35.3,99.3,0,4.02,0.57,99.0,0.14,100,0.14,0,0.29,0,0,0.29,3.45,2.01,
2024-11-13_Tasso ID 12 Tasso WB.fcs,0,0.17,74.7,100,0,5.19,0.17,93.1,0,100,0,0,0.52,0.17,0,0,2.60,0.17,
2024-11-13_Tasso ID 17 Tasso WB.fcs,11.8,0,70.6,100,0,0,0,100,0,100,0,5.88,0,5.88,0,0,11.8,11.8,
2024-11-13_Tasso ID 18 Tasso WB.fcs,2.05,0.68,80.1,99.3,0.68,8.90,0,95.2,0,100,0,2.05,0,1.37,0,1.37,0.68,3.42,
2024-11-13_Tasso ID 19 Tasso WB.fcs,0,0,45.8,99.0,1.04,5.21,0,95.8,0,100,0,0,1.04,1.04,0,1.04,1.04,2.08,
2024-11-13_Tasso ID 20 Tasso WB.fcs,0,0,74.4,97.7,2.33,11.6,0,97.7,0,100,0,2.33,2.33,4.65,0,0,11.6,2.33,
2024-11-13_Tasso ID 21 Tasso WB.fcs,0.95,0.48,68.6,97.6,1.43,13.8,1.90,90.0,0,100,0,1.90,1.90,4.29,0.48,0.95,0.95,2.38,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,2.38,2.38,71.4,100,0,7.14,2.38,100,0,100,0,0,2.38,0,0,0,2.38,2.38,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,0,0.67,37.5,100,0,11.7,0.67,86.5,0,100,0,0,0.45,0.67,0,0.22,2.70,0.22,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,0.40,0.40,83.8,99.7,0,20.3,0.088,83.5,1.28,100,0,0,0.40,0.13,0,0.044,5.91,0.84,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,5.88,0,41.2,100,0,11.8,0,100,0,100,0,0,0,5.88,0,0,5.88,5.88,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,0,0,75.4,100,0,15.9,0,87.0,0,100,0,0,0,0,0,0,2.90,2.90,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,0,0,59.1,98.9,0,11.9,0,93.2,0,100,0,0,0,0,0,0,1.14,1.14,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,2.86,0,60.0,91.4,0,31.4,2.86,88.6,0,100,0,5.71,0,0,0,0,11.4,5.71,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,0,0.49,81.5,99.0,2.44,32.7,0.49,81.5,0,100,0,0,5.37,1.46,0,0,0,0.98,
2024-11-13_SAC253053.fcs,1.92,1.12,47.4,99.1,0.26,10.9,1.12,98.5,0.066,100,0,0.33,1.65,0.33,0,0.066,26.6,0.66,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,5.77,2.94,82.0,99.6,0.32,10.0,0.53,99.1,0,100,0,0.48,1.39,0.85,0,0.27,2.94,0.64,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,3.41,0.98,67.9,100.0,0.078,9.34,1.18,99.8,0.67,100,0,0.16,2.00,0.67,0,0.67,10.5,1.65,
