,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7+ (Naive) ***/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,3.43,7.52,99.6,99.8,8.66,0.093,0.016,72.9,0,0.093,0.016,0,0.016,0.39,0,0,0,4.63,
2024-11-13_Tasso ID 07 Tasso WB.fcs,1.78,1.96,94.9,99.9,12.2,0.22,0,84.5,0.036,0.22,0,0.036,0.11,0.65,0.036,0,0,7.50,
2024-11-13_Tasso ID 12 Tasso WB.fcs,5.07,3.99,99.0,100,10.3,0.22,0.054,60.4,0.054,0.32,0.16,0.11,0,1.51,0.11,0,0.16,4.31,
2024-11-13_Tasso ID 17 Tasso WB.fcs,32.6,1.45,100,100,17.4,0,0.29,62.5,0,0.29,0,0.29,0,2.03,0.29,0,0,3.78,
2024-11-13_Tasso ID 18 Tasso WB.fcs,14.3,2.49,99.7,99.6,21.0,0.098,0,65.8,0,0.16,0.033,0.26,0.13,3.08,0,0,0.13,7.70,
2024-11-13_Tasso ID 19 Tasso WB.fcs,1.13,1.27,98.4,99.9,7.29,0.094,0.031,59.0,0.016,0.20,0.079,0,0.063,0.72,0,0.016,0.016,2.81,
2024-11-13_Tasso ID 20 Tasso WB.fcs,11.5,2.88,99.9,100,22.6,0.10,0.034,66.0,0,0.20,0.10,0,0.10,1.15,0,0,0.034,4.61,
2024-11-13_Tasso ID 21 Tasso WB.fcs,2.13,2.28,98.8,99.9,18.8,0.018,0.037,64.8,0.018,0.055,0.018,0.055,0.092,1.25,0.055,0,0.055,5.51,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,13.5,8.79,99.5,98.9,9.32,0.076,0,67.1,0,0.23,0.15,0.076,0.15,0.76,0,0,0.076,10.0,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,3.63,2.68,97.9,99.9,11.3,10.9,0,67.5,0.12,0.21,0,0.061,0.85,0.88,0,0,0.030,9.32,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,11.5,4.98,99.6,99.7,10.9,0.099,0.016,55.3,0.016,0.26,0.033,0.033,0.18,1.45,0.016,0,0.033,3.78,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,40.5,2.18,100,100,15.9,0,0,55.8,0,0,0,0.31,0,1.25,0,0,0,10.6,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,10.5,2.28,99.8,99.7,17.8,0.16,0.079,54.5,0,0,0,0.079,0.079,1.34,0,0,0,6.36,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,2.27,0.81,99.8,99.6,5.87,0.40,0,47.5,0,0.14,0.15,0.014,0.041,0.31,0.041,0,0.014,9.68,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,10.5,3.89,99.5,99.1,23.3,0.50,0,56.5,0,0,0,0,0.17,1.32,0,0,0,7.62,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,6.58,2.18,99.8,99.9,19.5,0.054,0,44.1,0,0.054,0.027,0,0.44,1.44,0.027,0,0.027,6.69,
2024-11-13_SAC253053.fcs,49.9,5.90,100.0,100.0,20.6,0.27,0,66.8,8.05E-3,0.12,0.016,0.016,0.14,4.41,0.024,0,0.032,2.69,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,33.3,15.5,99.9,100.0,14.8,0.10,0.018,86.2,6.07E-3,0.26,0.018,0.018,0.14,2.01,0.012,6.07E-3,0.030,7.92,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,48.4,7.15,99.9,100,20.6,0.19,0.019,83.9,0,0.16,0.019,0,0.14,3.77,0.019,0,0.12,7.81,
2024-11-13_Tasso ID 12 Vein PBMC.fcs,49.0,7.85,99.9,100,19.3,0.15,0.015,78.4,0,0.43,0,0,0.062,6.67,0.015,0.046,0.14,5.81,
2024-11-13_Tasso ID 17 Vein PBMC.fcs,56.2,2.48,100.0,100.0,18.1,0.079,0.026,74.4,0,0.21,0,0.053,0.55,1.90,0,0,0.079,7.56,
2024-11-13_Tasso ID 18 Vein PBMC.fcs,34.1,3.99,99.9,100.0,27.2,0.13,0.026,78.6,0,0.14,0.026,0.077,0.42,8.17,0.013,0.013,0.089,8.59,
2024-11-13_Tasso ID 19 Vein PBMC.fcs,23.5,4.02,100.0,100.0,9.19,0.11,0.014,70.6,2.89E-3,0.29,0.075,5.78E-3,0.41,2.82,8.67E-3,0,0.029,7.40,
2024-11-13_Tasso ID 20 Vein PBMC.fcs,24.5,6.01,100.0,100,27.8,0.13,0,78.2,6.00E-3,0.090,0.024,0.030,0.29,4.02,0.048,6.00E-3,0.024,9.04,
2024-11-13_Tasso ID 21 Vein PBMC.fcs,30.6,4.84,100.0,100,27.1,0.24,0.034,76.5,0,0.17,0,0.017,0.19,4.62,0.034,0,0.067,7.36,
2024-11-13_Tasso ID 05 Vein WB.fcs,3.97,9.68,99.5,99.8,10.7,0.093,0.013,74.3,0,0.17,0.013,0.067,0.053,0.56,0.053,0.013,0.013,5.07,
2024-11-13_Tasso ID 07 Vein WB.fcs,1.20,3.23,98.2,100,11.2,0.063,0,77.2,0,0.063,0,0,0.13,0.57,0,0,0,4.55,
2024-11-13_Tasso ID 12 Vein WB.fcs,2.94,3.00,96.8,100,11.3,0.12,0,58.7,0,0.19,0,0,0,1.25,0,0,0,4.69,
2024-11-13_Tasso ID 17 Vein WB.fcs,5.90,1.21,99.2,99.8,12.0,0.076,0.076,64.2,0,0.30,0,0.15,0.076,0.45,0.076,0.076,0.076,5.30,
