,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,7.43,19.2,82.3,94.4,8.74,0.13,1.01,69.3,0.044,13.2,0.20,6.70,5.32,8.90,0.044,0.088,3.18,5.72,
2024-11-13_Tasso ID 07 Tasso WB.fcs,1.78,8.30,62.4,99.5,5.94,0.25,0.57,82.1,0.056,27.4,0.20,0.070,3.01,12.0,0.028,0.11,4.36,4.31,
2024-11-13_Tasso ID 12 Tasso WB.fcs,10.7,19.6,81.6,99.7,5.49,0.16,1.06,78.2,0,25.9,0.081,0.41,2.85,9.59,0.24,0.28,8.37,4.88,
2024-11-13_Tasso ID 17 Tasso WB.fcs,40.6,11.6,84.7,99.2,8.03,0.24,0.24,71.8,0.24,8.75,0.48,3.12,6.59,11.6,0,0,8.27,6.59,
2024-11-13_Tasso ID 18 Tasso WB.fcs,23.9,16.5,77.8,93.1,7.79,0.25,0.89,72.2,0.049,19.7,0.099,7.17,3.55,15.8,0.12,0.27,6.97,5.57,
2024-11-13_Tasso ID 19 Tasso WB.fcs,2.48,4.58,77.0,99.0,5.30,0.15,0.31,52.2,0.11,12.2,0.076,0.53,1.79,9.80,0.076,0.34,4.96,4.46,
2024-11-13_Tasso ID 20 Tasso WB.fcs,18.6,16.2,93.4,99.9,13.7,0.15,0.049,67.2,0.15,13.7,0.098,0.20,3.57,16.9,0.098,0.098,7.98,5.34,
2024-11-13_Tasso ID 21 Tasso WB.fcs,3.82,8.53,80.9,98.6,13.2,0.037,0.64,56.0,0.056,7.13,0.17,1.59,6.49,20.9,0.24,0.30,8.29,4.38,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,29.4,32.5,81.2,93.2,6.65,0.63,0.74,71.8,0,16.9,0,8.76,4.86,11.5,0,0.63,4.12,7.71,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,7.00,12.3,81.8,99.9,4.99,3.17,0.37,73.5,0.080,27.8,0.048,0.016,1.74,11.5,0.032,0.22,2.65,6.52,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,23.1,25.9,88.5,99.6,3.94,0.38,1.32,74.8,0,26.7,0.12,0.20,1.93,9.16,0.015,0.73,8.28,4.29,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,37.2,11.8,86.5,99.4,7.60,0.67,0.22,68.7,0.22,13.5,0,2.79,7.04,11.8,0,0.11,8.83,6.26,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,18.8,12.3,82.0,94.2,6.91,1.76,0.54,66.3,0.15,18.7,0.098,5.00,2.25,9.31,0.098,0.24,5.00,5.63,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,6.14,4.10,88.5,98.6,5.16,3.56,0.43,57.6,0,15.9,0.039,0.63,1.88,5.51,0.039,0.27,3.56,7.62,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,16.3,18.1,90.4,99.6,13.6,1.43,0,63.9,0.14,14.6,0.29,0.14,3.42,14.4,0.14,0,7.99,7.56,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,14.5,14.9,91.8,98.8,13.0,0.45,0.55,46.6,0.032,9.18,0.032,1.38,5.81,24.9,0.16,0.61,7.48,4.85,
2024-11-13_SAC253053.fcs,44.8,34.9,86.3,99.9,8.06,0.58,0.82,80.6,0.033,20.5,3.63E-3,0.073,4.69,14.5,0.018,0.15,9.66,5.63,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,46.5,38.9,82.4,93.7,8.86,0.35,1.42,81.9,0.053,16.0,0.018,7.38,7.04,18.3,0.031,0.33,5.17,5.62,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,55.0,31.7,88.0,100.0,10.0,0.46,0.63,89.7,0.024,35.0,0.024,0.048,3.63,23.4,0.036,0.32,6.63,6.20,
2024-11-13_Tasso ID 12 Vein PBMC.fcs,55.7,42.3,90.1,99.8,5.77,0.40,1.50,90.1,0.020,31.1,9.89E-3,0.26,2.86,18.0,0.059,0.76,11.5,4.42,
2024-11-13_Tasso ID 17 Vein PBMC.fcs,50.4,18.8,84.0,98.8,7.18,0.28,0.31,83.4,0.24,14.1,5.01E-3,3.31,8.56,18.1,0.025,0.12,13.7,5.44,
2024-11-13_Tasso ID 18 Vein PBMC.fcs,41.7,27.3,78.1,92.4,7.82,0.25,1.09,82.2,0.039,22.6,0.032,7.02,4.01,25.3,0.045,0.36,8.97,6.55,
2024-11-13_Tasso ID 19 Vein PBMC.fcs,45.1,21.9,90.6,99.3,6.14,0.57,0.84,82.6,0.042,23.4,0.095,0.89,3.49,25.3,0.060,0.77,10.5,7.86,
2024-11-13_Tasso ID 20 Vein PBMC.fcs,33.7,28.3,89.9,100.0,14.1,0.23,0.45,81.4,0.10,17.1,6.14E-3,0.18,5.80,26.6,0.049,0.17,11.0,7.38,
2024-11-13_Tasso ID 21 Vein PBMC.fcs,45.3,24.1,91.3,98.5,19.1,0.32,0.87,71.4,0.053,12.4,0,2.67,10.4,42.4,0.16,0.42,14.2,5.42,
2024-11-13_Tasso ID 05 Vein WB.fcs,7.26,19.9,81.5,95.0,8.84,0.21,0.99,69.5,0.085,13.4,0.10,5.71,6.19,9.98,0,0.14,3.62,5.32,
2024-11-13_Tasso ID 07 Vein WB.fcs,3.90,10.3,77.9,99.9,9.22,0.15,0.38,79.7,0.029,26.2,0.029,0.058,2.71,12.7,0,0.087,3.64,4.68,
2024-11-13_Tasso ID 12 Vein WB.fcs,7.81,13.9,78.5,99.9,8.34,0.33,0.87,73.4,0,25.2,0,0.27,2.87,9.67,0.067,0.33,7.87,5.14,
2024-11-13_Tasso ID 17 Vein WB.fcs,6.41,5.93,77.6,99.3,6.89,0.13,0.28,68.1,0.18,9.58,0.025,2.18,6.82,9.71,0,0.10,8.08,4.26,
2024-11-13_Tasso ID 18 Vein WB.fcs,5.91,11.4,75.4,94.7,6.80,0.18,1.17,70.1,0.069,17.0,0.10,6.02,2.75,12.2,0.19,0.19,5.77,5.33,
2024-11-13_Tasso ID 19 Vein WB.fcs,0.10,3.49,80.8,98.6,6.20,0.16,0.26,47.0,0,9.85,0.16,0.21,1.46,8.91,0,0.052,4.33,3.54,
2024-11-13_Tasso ID 20 Vein WB.fcs,7.42,9.81,77.1,99.9,15.4,0.22,0.20,69.0,0.093,13.1,0.19,0.14,3.98,15.7,0.15,0.19,7.04,6.31,
2024-11-13_Tasso ID 21 Vein WB.fcs,1.87,7.12,72.4,98.6,14.8,0.094,0.52,57.0,0.047,7.65,0.094,1.80,6.19,20.6,0.20,0.28,7.84,3.75,
