,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,4.69,13.3,64.1,67.2,3.91,0,4.69,40.6,3.12,2.34,0,35.2,21.1,4.69,0,0,0.78,8.59,
2024-11-13_Tasso ID 07 Tasso WB.fcs,0.34,0.51,45.8,65.7,3.06,0.17,2.04,59.8,0,0.85,0,0.34,1.36,2.21,0,0,0.34,13.9,
2024-11-13_Tasso ID 12 Tasso WB.fcs,8.57,9.52,92.4,81.9,6.67,0,9.52,57.1,0,0.95,0,2.86,4.76,3.81,0.95,0.95,4.76,10.5,
2024-11-13_Tasso ID 17 Tasso WB.fcs,30.0,0,70.0,75.0,5.00,0,15.0,55.0,0,0,0,35.0,15.0,5.00,0,0,5.00,5.00,
2024-11-13_Tasso ID 18 Tasso WB.fcs,22.0,2.20,95.1,95.1,4.40,0,13.7,78.0,0.55,1.10,0,2.20,2.20,7.14,0,0,3.30,9.89,
2024-11-13_Tasso ID 19 Tasso WB.fcs,2.94,0,93.4,83.8,5.15,0,0.74,22.1,0,2.94,0,2.21,1.47,5.15,0,0,2.94,12.5,
2024-11-13_Tasso ID 20 Tasso WB.fcs,27.8,11.1,92.6,96.3,22.2,0,5.56,64.8,1.85,1.85,0,3.70,11.1,31.5,3.70,0,3.70,13.0,
2024-11-13_Tasso ID 21 Tasso WB.fcs,0.83,1.93,93.4,63.5,4.14,0.28,1.93,36.2,0,1.10,0,0.83,1.66,6.35,0,0,0.55,16.3,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,37.0,25.9,88.9,96.3,11.1,0,7.41,70.4,0,0,0,3.70,3.70,18.5,0,0,0,11.1,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,8.09,2.89,93.1,87.9,4.05,1.73,9.83,58.4,0,5.78,0,0,2.31,4.05,0,0,0.58,17.3,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,17.4,6.10,95.7,86.3,2.74,0.61,14.0,64.3,0.30,3.66,0.30,2.44,1.22,1.22,0,0,5.18,10.4,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,31.6,0,84.2,73.7,5.26,5.26,10.5,68.4,0,5.26,10.5,15.8,10.5,5.26,0,0,0,5.26,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,17.0,0,96.6,92.0,7.95,0,14.8,64.8,0,0,0,4.55,3.41,5.68,0,0,1.14,13.6,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,2.38,2.38,93.7,73.8,5.56,1.59,5.56,28.6,0.79,1.59,0,3.97,3.17,2.38,0,0,2.38,18.3,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,38.9,16.7,88.9,77.8,16.7,0,0,55.6,0,0,0,16.7,11.1,11.1,0,0,5.56,5.56,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,7.06,1.18,94.1,89.4,15.3,0,5.88,34.1,0,2.35,0,1.18,11.8,14.1,0,0,4.71,18.8,
2024-11-13_SAC253053.fcs,35.2,8.25,98.3,95.6,2.72,0.30,10.8,70.0,0.099,0.96,0.033,0.066,7.25,4.87,0,0.033,4.21,10.5,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,39.4,20.5,96.4,96.6,5.83,0.44,6.71,81.5,0.44,1.87,0.11,2.97,13.9,11.6,0,0,3.52,9.35,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,52.6,11.6,97.4,98.2,11.2,0.20,8.80,85.8,0,7.60,0.20,0.60,9.80,19.4,0.20,0,4.40,14.0,
2024-11-13_Tasso ID 12 Vein PBMC.fcs,50.0,16.1,97.2,96.8,6.96,0.32,17.4,88.0,0,4.11,0,0,7.91,15.2,0,0,12.0,10.8,
2024-11-13_Tasso ID 17 Vein PBMC.fcs,40.6,6.85,94.6,94.1,1.71,0.24,9.29,86.3,0.24,0.73,0,2.20,8.07,9.54,0.24,0.24,2.69,9.54,
2024-11-13_Tasso ID 18 Vein PBMC.fcs,47.6,7.56,96.6,97.3,10.5,0.49,36.1,89.5,0,2.44,0,0,6.10,15.9,0,0,6.34,9.51,
2024-11-13_Tasso ID 19 Vein PBMC.fcs,25.7,2.30,98.5,91.7,7.32,0.27,9.21,65.0,0,2.30,0.41,1.08,5.96,11.9,0,0,7.72,15.6,
2024-11-13_Tasso ID 20 Vein PBMC.fcs,35.5,16.2,95.3,99.4,19.9,0,7.80,79.1,0,1.03,0,0.21,12.5,31.6,0.41,0,7.80,11.9,
2024-11-13_Tasso ID 21 Vein PBMC.fcs,49.7,5.73,98.7,96.8,37.6,1.27,11.5,63.1,0.64,2.55,0,1.91,29.9,47.8,0.64,0,10.2,14.6,
