,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7+ (CM) ***+ or CD45RA+ , CCR7- (TEMRA) ***+ or CD45RA- , CCR7- (EM) ***+/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,2.72,10.5,20.2,24.0,3.96,0.66,1.61,11.9,0.69,6.68,0.057,80.8,31.7,0.83,0.029,0.029,1.41,6.19,
2024-11-13_Tasso ID 07 Tasso WB.fcs,0.27,1.48,39.1,70.1,2.50,0.67,7.62,59.2,0.74,15.5,0.067,12.2,11.3,2.83,0,0.067,11.6,11.2,
2024-11-13_Tasso ID 12 Tasso WB.fcs,3.23,3.66,69.2,71.3,2.53,0.70,10.4,58.6,0.14,18.7,0,18.1,5.49,1.13,0.14,0.14,14.5,5.34,
2024-11-13_Tasso ID 17 Tasso WB.fcs,14.1,2.78,54.5,42.9,1.07,1.28,4.06,30.3,4.49,3.63,0,55.3,37.4,0.64,0.21,0,11.1,2.99,
2024-11-13_Tasso ID 18 Tasso WB.fcs,14.0,0.93,44.1,41.1,1.98,0.74,10.6,36.2,1.42,4.32,0.19,55.0,8.33,1.54,0.062,0,6.17,5.56,
2024-11-13_Tasso ID 19 Tasso WB.fcs,0.57,0.34,63.7,65.9,3.19,0.68,5.35,26.8,0.23,6.04,0.11,19.8,7.18,1.59,0.11,0,10.6,9.45,
2024-11-13_Tasso ID 20 Tasso WB.fcs,10.6,5.87,70.7,68.4,5.59,1.12,5.03,40.8,2.23,7.54,0,39.1,24.6,7.26,0.56,0.28,31.6,6.15,
2024-11-13_Tasso ID 21 Tasso WB.fcs,0.79,1.76,63.2,59.8,8.23,0.67,4.30,33.6,0.12,9.81,0.12,24.4,18.4,6.48,0.24,0,8.11,11.6,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,11.1,10.4,23.5,28.6,5.24,0.71,1.43,13.5,1.19,7.26,0,79.3,35.8,1.19,0,0,1.67,5.36,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,5.50,3.44,73.2,81.6,2.75,1.37,13.6,58.1,0.52,16.7,0,11.0,11.9,2.23,0,0,9.79,13.7,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,5.93,3.52,77.0,73.6,1.31,4.36,8.73,48.5,2.29,21.5,0.085,15.3,6.53,0.64,0.085,0,15.0,4.75,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,12.7,1.14,50.0,42.8,0.98,1.47,2.78,22.5,5.39,5.07,0.33,54.2,44.0,0.82,0,0,7.84,3.27,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,6.44,0.94,45.8,44.8,2.11,0.94,10.7,32.0,0.59,4.57,0.12,47.5,9.25,0.94,0,0,4.57,4.33,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,2.16,0.51,62.4,58.6,2.88,1.44,7.00,31.0,0.21,9.88,0.10,27.6,7.61,1.03,0,0,9.36,8.85,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,8.12,3.90,59.4,54.2,3.57,5.52,5.52,29.9,2.27,5.52,0.32,50.0,28.6,2.60,0,0,23.1,4.55,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,2.59,1.67,70.9,65.3,9.08,6.67,5.10,28.3,0.93,20.1,0,24.4,26.8,7.04,0,0,9.27,8.06,
2024-11-13_SAC253053.fcs,18.9,7.88,71.0,73.1,2.61,1.47,8.60,54.1,0.78,8.61,0.022,15.0,33.2,4.23,7.38E-3,0.015,20.0,4.83,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,18.7,14.1,27.0,27.4,6.66,1.32,1.52,14.5,1.17,8.46,0.055,80.0,38.8,2.28,8.40E-3,0.017,2.43,4.07,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,28.2,10.2,77.6,84.5,5.56,1.87,12.3,74.7,1.67,25.6,0.051,16.9,22.2,10.6,0.051,0.051,21.8,11.8,
2024-11-13_Tasso ID 12 Vein PBMC.fcs,18.8,7.93,82.5,73.0,2.56,2.35,11.4,66.9,0.77,25.1,0,20.7,8.10,3.12,0,0.035,22.2,6.21,
2024-11-13_Tasso ID 17 Vein PBMC.fcs,18.0,2.11,55.8,45.7,0.85,1.71,2.68,35.2,6.55,5.96,0.022,45.6,42.0,1.06,0.028,0.017,14.0,2.23,
2024-11-13_Tasso ID 18 Vein PBMC.fcs,22.8,2.25,39.2,35.8,2.32,1.22,10.9,33.8,1.73,5.16,0.016,60.7,11.6,2.14,0.016,0.016,9.22,4.01,
2024-11-13_Tasso ID 19 Vein PBMC.fcs,12.2,2.03,71.7,56.8,3.94,1.48,9.23,44.1,0.64,15.3,0.20,38.3,11.3,4.23,0.033,0.049,28.4,6.79,
2024-11-13_Tasso ID 20 Vein PBMC.fcs,12.0,8.60,70.2,63.0,5.92,2.43,5.49,47.2,3.07,8.05,0.11,40.1,27.4,7.47,0.085,0,32.1,5.68,
2024-11-13_Tasso ID 21 Vein PBMC.fcs,15.8,2.63,70.1,56.0,17.0,2.42,4.99,37.3,0.74,18.8,0.26,40.9,39.0,16.5,0.053,0,17.9,9.94,
2024-11-13_Tasso ID 05 Vein WB.fcs,2.94,11.2,20.3,24.3,3.89,0.68,1.12,12.0,0.87,7.15,0.17,79.7,32.7,0.87,0.021,0.021,1.30,6.53,
2024-11-13_Tasso ID 07 Vein WB.fcs,1.00,2.61,63.9,78.0,4.01,0.80,8.22,57.9,1.00,14.6,0,12.8,12.0,3.01,0,0,11.8,10.4,
2024-11-13_Tasso ID 12 Vein WB.fcs,3.28,2.58,57.4,70.5,2.81,1.17,9.84,56.9,0.23,21.3,0.23,22.2,2.81,1.17,0,0,12.4,4.45,
2024-11-13_Tasso ID 17 Vein WB.fcs,1.92,0.78,32.3,36.8,0.78,1.71,2.17,24.0,4.70,3.31,0.11,57.6,35.6,0.60,0.071,0.036,8.72,2.49,
2024-11-13_Tasso ID 18 Vein WB.fcs,2.24,0.69,48.0,45.9,1.95,0.61,9.29,36.9,0.75,3.98,0.080,47.0,5.82,1.26,0.053,0,5.66,4.83,
2024-11-13_Tasso ID 19 Vein WB.fcs,0.14,0.27,62.8,66.3,2.74,1.09,3.56,26.5,0.27,6.84,0,19.2,5.20,1.37,0,0,10.4,7.25,
2024-11-13_Tasso ID 20 Vein WB.fcs,3.40,4.29,48.6,66.1,6.37,1.83,4.60,41.5,1.70,6.94,0.13,37.5,24.0,5.55,0,0,24.8,6.62,
