,"Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,75.4,0.91,14.7,0,19.9,1.04,0.26,0.52,7.15,6.50,0.52,1.04,99.3,0.13,0,0.13,0,4.68,
2024-11-13_Tasso ID 07 Tasso WB.fcs,41.6,0.16,5.27,0.26,17.2,20.4,0.10,1.50,2.58,5.32,0.47,5.79,83.0,2.69,0.26,1.71,0.052,10.9,
2024-11-13_Tasso ID 12 Tasso WB.fcs,68.2,0.31,12.1,0.10,14.0,5.58,0,0.31,2.89,7.54,1.03,3.10,94.4,2.89,0,0.10,0.21,9.09,
2024-11-13_Tasso ID 17 Tasso WB.fcs,63.4,4.88,19.5,4.88,26.8,2.44,0,4.88,4.88,4.88,0,0,90.2,0,0,2.44,0,29.3,
2024-11-13_Tasso ID 18 Tasso WB.fcs,93.3,1.15,15.4,0.061,20.2,2.15,0.27,0.39,8.50,5.99,0.091,0.54,99.5,0.27,0.18,0.73,0.12,1.76,
2024-11-13_Tasso ID 19 Tasso WB.fcs,76.6,0.12,2.45,0.039,11.8,0.66,0.078,0.039,7.09,6.31,0.27,0.82,98.8,0.078,0.12,0.23,0.039,1.25,
2024-11-13_Tasso ID 20 Tasso WB.fcs,90.1,1.41,8.48,0.71,25.1,2.47,0.35,0.71,8.48,8.48,0,2.12,98.9,0,0,0.71,0.35,4.24,
2024-11-13_Tasso ID 21 Tasso WB.fcs,73.1,0.67,14.3,0.042,22.3,3.15,0,0.46,10.5,5.79,0.084,0.71,99.5,0.21,0.13,0.71,0.084,2.68,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,86.2,1.72,22.4,6.90,20.7,3.45,0,0,5.17,6.90,0,5.17,96.6,0,0,0,1.72,17.2,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,15.7,0.92,4.60,0.18,6.81,6.45,0.74,0.92,8.66,3.31,0.37,1.66,95.2,0.18,0.37,0.37,0,2.21,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,74.5,0.51,12.8,0.17,12.8,6.98,0.20,0.31,6.10,3.36,0.26,1.03,98.6,0.17,0.11,0.28,0.23,3.90,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,62.8,0,23.3,6.98,20.9,9.30,0,0,6.98,0,0,2.33,79.1,2.33,0,0,0,20.9,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,76.5,0.65,10.6,0,17.9,3.63,0.44,0,7.84,5.37,0.51,0.36,99.7,0.15,0.15,0.36,0.073,1.16,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,84.8,0,2.81,0.035,10.6,1.98,0.035,0.069,5.47,4.71,0.38,0.38,99.2,0.17,0.14,0.21,0,0.31,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,86.0,0,15.0,0,21.5,3.74,0,0,12.1,7.48,0.93,1.87,99.1,0,0,0,0,4.67,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,78.2,0.92,16.2,0.87,22.4,12.0,0.042,0.29,14.8,5.12,0.33,0.75,99.5,0.46,0.25,0.92,0.042,3.08,
2024-11-13_SAC253053.fcs,85.1,2.22,12.3,1.69,16.4,4.60,0.27,0.17,9.86,11.4,0.41,1.43,95.5,0.050,0.083,0.22,0.37,4.08,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,92.0,7.73,41.8,0.19,23.6,2.09,0.76,0.44,11.6,10.9,0.38,2.03,98.1,0.063,0.13,0.38,0.70,6.97,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,64.3,2.27,10.7,7.05,26.4,5.16,0.076,0.45,9.02,11.4,0.53,6.97,90.5,0,0.15,0.30,0.68,20.8,
2024-11-13_Tasso ID 12 Vein PBMC.fcs,82.5,2.40,34.2,0.83,17.3,3.38,0.15,0.38,4.43,9.08,0.23,3.23,95.3,0,0.075,0,0.45,9.08,
2024-11-13_Tasso ID 17 Vein PBMC.fcs,37.7,4.22,23.4,4.22,29.7,19.8,0,0.60,4.52,7.09,0.60,8.90,73.0,0.15,0.15,0.30,0.30,23.1,
2024-11-13_Tasso ID 18 Vein PBMC.fcs,88.9,4.36,29.3,0.23,25.1,3.03,0.094,0.40,8.28,7.74,0.28,1.34,98.7,0.19,0.070,0.63,0.52,3.61,
2024-11-13_Tasso ID 19 Vein PBMC.fcs,90.3,0.75,13.5,0.073,16.0,2.84,0.11,0.31,7.67,8.46,0.36,1.51,96.9,0.11,0.091,0.22,0.24,2.64,
2024-11-13_Tasso ID 20 Vein PBMC.fcs,84.3,3.16,18.9,0.99,37.5,3.97,0.36,0.54,8.94,9.57,0.45,2.35,95.0,0.27,0.36,0.72,0.090,11.2,
2024-11-13_Tasso ID 21 Vein PBMC.fcs,78.5,3.56,33.8,0.58,33.9,6.04,0.33,0.99,12.4,9.44,0.50,3.64,95.7,0.17,0.25,1.24,0.50,8.69,
2024-11-13_Tasso ID 05 Vein WB.fcs,80.2,2.03,11.3,0.081,21.1,1.95,0.16,0.16,4.96,12.6,0.16,0.65,98.7,0,0.16,0.65,0.24,2.93,
2024-11-13_Tasso ID 07 Vein WB.fcs,57.7,0.27,2.56,0.35,14.9,2.56,0,0.44,6.89,3.80,0.44,1.68,97.1,0.27,0.088,0.35,0,5.74,
2024-11-13_Tasso ID 12 Vein WB.fcs,74.3,0.68,9.76,0.41,14.6,1.22,0.27,0.41,3.52,6.10,0,1.90,98.8,0.68,0.27,0.41,0.14,6.37,
2024-11-13_Tasso ID 17 Vein WB.fcs,32.9,1.08,11.2,1.08,26.0,12.3,0,0.36,5.05,6.50,1.08,8.66,78.7,0,0,0.72,0,24.2,
2024-11-13_Tasso ID 18 Vein WB.fcs,84.2,1.05,12.1,0.060,17.5,2.72,0.29,0.32,7.17,5.34,0.26,0.66,98.2,1.02,0.15,0.66,0.15,1.49,
2024-11-13_Tasso ID 19 Vein WB.fcs,47.2,0.066,2.44,0,8.10,0.66,0.13,0.13,5.67,8.56,0.13,0.86,98.9,0.20,0.13,0.20,0.066,0.72,
2024-11-13_Tasso ID 20 Vein WB.fcs,80.2,0.86,6.29,0.10,28.7,2.54,0.051,0.56,10.9,9.84,0.30,2.08,98.2,0.25,0.20,0.66,0.10,5.02,
2024-11-13_Tasso ID 21 Vein WB.fcs,72.4,0.61,11.9,0.058,23.4,4.26,0.087,0.70,10.9,6.61,0.35,0.93,99.1,0.20,0.14,1.10,0.12,3.22,
